grupo,n,n_grave,pct_grave,n_fatal,pct_fatal,z_pct_grave
101,54115,14180.0,26.2,2776.0,5.13,-0.7102359711277523
116,48042,11299.0,23.52,2840.0,5.91,-1.0151045416688518
381,14918,3449.0,23.12,797.0,5.34,-1.0606073133914038
40,14828,3583.0,24.16,781.0,5.27,-0.9423001069127682
153,11840,3327.0,28.1,954.0,8.06,-0.4940978054456293
163,10723,2944.0,27.46,807.0,7.53,-0.5669022402017129
364,9863,2864.0,29.04,708.0,7.18,-0.387166291897632
277,9163,2324.0,25.36,644.0,7.03,-0.8057917917451118
376,7973,2130.0,26.72,507.0,6.36,-0.6510823678884345
262,7562,2566.0,33.93,591.0,7.82,0.16910509241056823
230,6984,2565.0,36.73,672.0,9.62,0.48762449446843303
470,6430,1829.0,28.44,362.0,5.63,-0.45542044948146
282,5904,1627.0,27.56,359.0,6.08,-0.5555265472710751
316,5353,2412.0,45.06,786.0,14.68,1.4352197155905824
60,4647,1292.0,27.8,275.0,5.92,-0.5282248842375435
70,4505,1080.0,23.97,289.0,6.42,-0.9639139234809807
324,3895,804.0,20.64,201.0,5.16,-1.3427244980712272
232,3847,1512.0,39.3,392.0,10.19,0.7799798027858307
369,3732,1143.0,30.63,244.0,6.54,-0.20629277430048718
280,3617,969.0,26.79,160.0,4.42,-0.6431193828369879
50,3550,821.0,23.13,164.0,4.62,-1.0594697440983403
20,3252,982.0,30.2,313.0,9.62,-0.25520825390223073
290,3226,626.0,19.4,154.0,4.77,-1.483783090411139
158,3058,864.0,28.25,266.0,8.7,-0.4770342660496724
386,2848,713.0,25.04,205.0,7.2,-0.8421940091231536
343,2783,1056.0,37.94,200.0,7.19,0.6252703789291534
365,2709,876.0,32.34,277.0,10.23,-0.011768425186576193
222,2586,1098.0,42.46,386.0,14.93,1.1394516993939932
135,2419,958.0,39.6,345.0,14.26,0.8141068815777452
476,2243,613.0,27.33,174.0,7.76,-0.5816906410115426
285,2031,534.0,26.29,153.0,7.53,-0.6999978474901781
10,2022,919.0,45.45,317.0,15.68,1.4795849180200709
104,1980,759.0,38.33,206.0,10.4,0.6696355813586419
174,1823,570.0,31.27,194.0,10.64,-0.13348833954440364
304,1776,540.0,30.41,128.0,7.21,-0.23131929874789073
392,1662,409.0,24.61,122.0,7.34,-0.8911094887248971
393,1614,472.0,29.24,102.0,6.32,-0.364414906036356
242,1467,640.0,43.63,239.0,16.29,1.2725473066824584
110,1438,595.0,41.38,197.0,13.7,1.0165942157431025
493,1435,323.0,22.51,84.0,5.85,-1.1299990402682958
251,1416,585.0,41.31,204.0,14.41,1.0086312306916558
235,1373,528.0,38.46,162.0,11.8,0.6844239821684716
407,1248,510.0,40.87,185.0,14.82,0.958578181796848
226,1245,564.0,45.3,225.0,18.07,1.4625213786241131
267,1182,434.0,36.72,136.0,11.51,0.48648692517536946
373,1082,377.0,34.84,136.0,12.57,0.2726238980793748
465,969,221.0,22.81,28.0,2.89,-1.0958719614763819
356,939,247.0,26.3,67.0,7.14,-0.6988602781971142
423,916,444.0,48.47,160.0,17.47,1.8231308445253391
428,863,262.0,30.36,62.0,7.18,-0.23700714521320984
319,820,198.0,24.15,56.0,6.83,-0.9434376762058322
0,788,61.0,7.74,10.0,1.27,-2.8101888861235342
414,656,248.0,37.8,64.0,9.76,0.6093444088262601
408,630,237.0,37.62,82.0,13.02,0.5888681615511117
406,598,230.0,38.46,52.0,8.7,0.6844239821684716
80,595,187.0,31.43,73.0,12.27,-0.11528723085538278
459,587,206.0,35.09,41.0,6.98,0.30106313040596994
287,583,145.0,24.87,36.0,6.17,-0.8615326871052381
259,570,238.0,41.75,58.0,10.18,1.058684279586463
367,546,204.0,37.36,40.0,7.33,0.559291359931453
293,508,145.0,28.54,46.0,9.06,-0.4440447565508222
210,480,140.0,29.17,26.0,5.42,-0.3723778910878023
452,470,150.0,31.91,59.0,12.55,-0.060683904788320135
472,470,152.0,32.34,48.0,10.21,-0.011768425186576193
424,442,223.0,50.45,74.0,16.74,2.048369564551973
354,423,91.0,21.51,12.0,2.84,-1.243755969574676
405,421,222.0,52.73,74.0,17.58,2.3077353633705195
471,390,121.0,31.03,34.0,8.72,-0.16079000257793477
415,329,103.0,31.31,21.0,6.38,-0.12893806237214853
435,319,92.0,28.84,26.0,8.15,-0.40991767775890803
480,312,69.0,22.12,11.0,3.53,-1.1743642426977843
448,302,34.0,11.26,12.0,3.97,-2.4097644949650756
463,285,87.0,30.53,25.0,8.77,-0.21766846723112498
146,280,92.0,32.86,16.0,5.71,0.047385178052741166
402,263,132.0,50.19,63.0,23.95,2.0187927629323132
272,246,88.0,35.77,25.0,10.16,0.37841784233430853
468,246,109.0,44.31,27.0,10.98,1.349902018610797
155,246,106.0,43.09,38.0,15.45,1.211118564857013
467,245,70.0,28.57,9.0,3.67,-0.44063204867163064
156,236,94.0,39.83,28.0,11.86,0.8402709753182124
469,230,52.0,22.61,2.0,0.87,-1.118623347337658
330,230,108.0,46.96,41.0,17.83,1.651357881272705
427,211,77.0,36.49,17.0,8.06,0.4603228314349023
317,203,97.0,47.78,35.0,17.24,1.744638563303937
