dia,n,media_movel_7d
2022-01-01,164,164.0
2022-01-02,209,186.5
2022-01-03,193,188.66666666666666
2022-01-04,140,176.5
2022-01-05,151,171.4
2022-01-06,159,169.33333333333334
2022-01-07,159,167.85714285714286
2022-01-08,196,172.42857142857142
2022-01-09,187,169.28571428571428
2022-01-10,152,163.42857142857142
2022-01-11,107,158.71428571428572
2022-01-12,126,155.14285714285714
2022-01-13,150,153.85714285714286
2022-01-14,175,156.14285714285714
2022-01-15,204,157.28571428571428
2022-01-16,205,159.85714285714286
2022-01-17,174,163.0
2022-01-18,151,169.28571428571428
2022-01-19,137,170.85714285714286
2022-01-20,147,170.42857142857142
2022-01-21,161,168.42857142857142
2022-01-22,205,168.57142857142858
2022-01-23,196,167.28571428571428
2022-01-24,131,161.14285714285714
2022-01-25,135,158.85714285714286
2022-01-26,133,158.28571428571428
2022-01-27,141,157.42857142857142
2022-01-28,184,160.71428571428572
2022-01-29,163,154.71428571428572
2022-01-30,169,150.85714285714286
2022-01-31,145,152.85714285714286
2022-02-01,121,150.85714285714286
2022-02-02,133,150.85714285714286
2022-02-03,129,149.14285714285714
2022-02-04,183,149.0
2022-02-05,213,156.14285714285714
2022-02-06,213,162.42857142857142
2022-02-07,189,168.71428571428572
2022-02-08,149,172.71428571428572
2022-02-09,143,174.14285714285714
2022-02-10,135,175.0
2022-02-11,187,175.57142857142858
2022-02-12,249,180.71428571428572
2022-02-13,221,181.85714285714286
2022-02-14,156,177.14285714285714
2022-02-15,138,175.57142857142858
2022-02-16,141,175.28571428571428
2022-02-17,144,176.57142857142858
2022-02-18,165,173.42857142857142
2022-02-19,202,166.71428571428572
2022-02-20,208,164.85714285714286
2022-02-21,174,167.42857142857142
2022-02-22,134,166.85714285714286
2022-02-23,148,167.85714285714286
2022-02-24,150,168.71428571428572
2022-02-25,220,176.57142857142858
2022-02-26,241,182.14285714285714
2022-02-27,227,184.85714285714286
2022-02-28,156,182.28571428571428
2022-03-01,163,186.42857142857142
2022-03-02,153,187.14285714285714
2022-03-03,194,193.42857142857142
2022-03-04,156,184.28571428571428
2022-03-05,207,179.42857142857142
2022-03-06,193,174.57142857142858
2022-03-07,152,174.0
2022-03-08,158,173.28571428571428
2022-03-09,164,174.85714285714286
2022-03-10,141,167.28571428571428
2022-03-11,193,172.57142857142858
2022-03-12,214,173.57142857142858
2022-03-13,218,177.14285714285714
2022-03-14,183,181.57142857142858
2022-03-15,147,180.0
2022-03-16,131,175.28571428571428
2022-03-17,130,173.71428571428572
2022-03-18,181,172.0
2022-03-19,211,171.57142857142858
2022-03-20,187,167.14285714285714
2022-03-21,158,163.57142857142858
2022-03-22,120,159.71428571428572
2022-03-23,133,160.0
2022-03-24,155,163.57142857142858
2022-03-25,175,162.71428571428572
2022-03-26,201,161.28571428571428
2022-03-27,185,161.0
2022-03-28,168,162.42857142857142
2022-03-29,115,161.71428571428572
2022-03-30,136,162.14285714285714
2022-03-31,153,161.85714285714286
2022-04-01,185,163.28571428571428
2022-04-02,213,165.0
2022-04-03,206,168.0
2022-04-04,154,166.0
2022-04-05,149,170.85714285714286
2022-04-06,160,174.28571428571428
2022-04-07,178,177.85714285714286
2022-04-08,213,181.85714285714286
2022-04-09,220,182.85714285714286
2022-04-10,201,182.14285714285714
2022-04-11,172,184.71428571428572
2022-04-12,156,185.71428571428572
2022-04-13,191,190.14285714285714
2022-04-14,202,193.57142857142858
2022-04-15,136,182.57142857142858
2022-04-16,149,172.42857142857142
2022-04-17,249,179.28571428571428
2022-04-18,190,181.85714285714286
2022-04-19,156,181.85714285714286
2022-04-20,153,176.42857142857142
2022-04-21,150,169.0
2022-04-22,170,173.85714285714286
2022-04-23,205,181.85714285714286
2022-04-24,211,176.42857142857142
2022-04-25,179,174.85714285714286
2022-04-26,127,170.71428571428572
2022-04-27,142,169.14285714285714
2022-04-28,138,167.42857142857142
2022-04-29,192,170.57142857142858
2022-04-30,192,168.71428571428572
2022-05-01,208,168.28571428571428
2022-05-02,182,168.71428571428572
2022-05-03,157,173.0
2022-05-04,141,172.85714285714286
2022-05-05,154,175.14285714285714
2022-05-06,177,173.0
2022-05-07,208,175.28571428571428
2022-05-08,210,175.57142857142858
2022-05-09,178,175.0
2022-05-10,154,174.57142857142858
2022-05-11,157,176.85714285714286
2022-05-12,161,177.85714285714286
2022-05-13,182,178.57142857142858
2022-05-14,211,179.0
2022-05-15,209,178.85714285714286
2022-05-16,173,178.14285714285714
2022-05-17,128,174.42857142857142
2022-05-18,127,170.14285714285714
2022-05-19,140,167.14285714285714
2022-05-20,185,167.57142857142858
2022-05-21,196,165.42857142857142
2022-05-22,195,163.42857142857142
2022-05-23,170,163.0
2022-05-24,155,166.85714285714286
2022-05-25,181,174.57142857142858
2022-05-26,152,176.28571428571428
2022-05-27,190,177.0
2022-05-28,201,177.71428571428572
2022-05-29,208,179.57142857142858
2022-05-30,169,179.42857142857142
2022-05-31,140,177.28571428571428
2022-06-01,152,173.14285714285714
2022-06-02,161,174.42857142857142
2022-06-03,177,172.57142857142858
2022-06-04,203,172.85714285714286
2022-06-05,198,171.42857142857142
2022-06-06,166,171.0
2022-06-07,158,173.57142857142858
2022-06-08,146,172.71428571428572
2022-06-09,154,171.71428571428572
2022-06-10,181,172.28571428571428
2022-06-11,173,168.0
2022-06-12,205,169.0
2022-06-13,162,168.42857142857142
2022-06-14,156,168.14285714285714
2022-06-15,187,174.0
2022-06-16,165,175.57142857142858
2022-06-17,141,169.85714285714286
2022-06-18,205,174.42857142857142
2022-06-19,203,174.14285714285714
2022-06-20,187,177.71428571428572
2022-06-21,156,177.71428571428572
2022-06-22,164,174.42857142857142
2022-06-23,173,175.57142857142858
2022-06-24,198,183.71428571428572
2022-06-25,162,177.57142857142858
2022-06-26,200,177.14285714285714
