categoria,n,pct
Reação tardia ou ineficiente do condutor,45052,14.45
Ausência de reação do condutor,44344,14.22
Acessar a via sem observar a presença dos outros veículos,29280,9.39
Condutor deixou de manter distância do veículo da frente,19518,6.26
Velocidade Incompatível,19494,6.25
Manobra de mudança de faixa,17544,5.63
Ingestão de álcool pelo condutor,17145,5.5
Demais falhas mecânicas ou elétricas,13891,4.46
Transitar na contramão,10525,3.38
Condutor Dormindo,9401,3.02
Ultrapassagem Indevida,7527,2.41
Animais na Pista,5958,1.91
Desrespeitar a preferência no cruzamento,5945,1.91
Avarias e/ou desgaste excessivo no pneu,5426,1.74
Trafegar com motocicleta (ou similar) entre as faixas,5185,1.66
Chuva,4936,1.58
Conversão proibida,4153,1.33
Acesso irregular,3373,1.08
Entrada inopinada do pedestre,3037,0.97
Pedestre andava na pista,2835,0.91
Pista Escorregadia,2635,0.85
Acumulo de água sobre o pavimento,2575,0.83
Pedestre cruzava a pista fora da faixa,2520,0.81
Mal súbito do condutor,2391,0.77
Objeto estático sobre o leito carroçável,1667,0.53
Frear bruscamente,1654,0.53
Pista esburacada,1518,0.49
Transitar no Acostamento,1474,0.47
Retorno proibido,1472,0.47
Problema com o freio,1236,0.4
Demais falhas na via,1229,0.39
Acumulo de areia ou detritos sobre o pavimento,1227,0.39
Carga excessiva e/ou mal acondicionada,1200,0.38
Condutor desrespeitou a iluminação vermelha do semáforo,1177,0.38
Curva acentuada,964,0.31
Acumulo de óleo sobre o pavimento,912,0.29
Ausência de sinalização,902,0.29
Afundamento ou ondulação no pavimento,860,0.28
Estacionar ou parar em local proibido,778,0.25
Deficiência do Sistema de Iluminação/Sinalização,775,0.25
Acostamento em desnível,774,0.25
Iluminação deficiente,694,0.22
Condutor usando celular,640,0.21
Suicídio (presumido),512,0.16
Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,481,0.15
Transitar no acostamento,377,0.12
Pedestre - Ingestão de álcool/ substâncias psicoativas,376,0.12
Demais Fenômenos da natureza,368,0.12
Área urbana sem a presença de local apropriado para a travessia de pedestres,357,0.11
Ingestão de substâncias psicoativas pelo condutor,339,0.11
Falta de elemento de contenção que evite a saída do leito carroçável,327,0.1
Falta de acostamento,296,0.09
Neblina,279,0.09
Problema na suspensão,228,0.07
Sinalização mal posicionada,221,0.07
Obras na pista,190,0.06
Transtornos Mentais (exceto suicidio),170,0.05
Desvio temporário,166,0.05
Ingestão de álcool ou de substâncias psicoativas pelo pedestre,166,0.05
Fumaça,144,0.05
Obstrução na via,130,0.04
Declive acentuado,107,0.03
Pista em desnível,101,0.03
Restrição de visibilidade em curvas horizontais,96,0.03
Participar de racha,76,0.02
Deixar de acionar o farol da motocicleta (ou similar),59,0.02
Faixas de trânsito com largura insuficiente,54,0.02
Modificação proibida,52,0.02
Restrição de visibilidade em curvas verticais,48,0.02
Transitar na calçada,47,0.02
Semáforo com defeito,35,0.01
Redutor de velocidade em desacordo,34,0.01
Faróis desregulados,33,0.01
Sinalização encoberta,18,0.01
Obstrução Via tentativa Assalto,10,0.0
Sistema de drenagem ineficiente,9,0.0
Condutor não acionou o farol baixo durante o dia em rodovias de pista simples,2,0.0
