categoria,n,pct
Colisão traseira,60086,19.27
Saída de leito carroçável,46576,14.94
Colisão transversal,39501,12.67
Colisão lateral mesmo sentido,32735,10.5
Tombamento,26929,8.64
Colisão com objeto,22142,7.1
Colisão frontal,20883,6.7
Queda de ocupante de veículo,14281,4.58
Atropelamento de Pedestre,13780,4.42
Colisão lateral sentido oposto,8991,2.88
Incêndio,7067,2.27
Capotamento,6449,2.07
Engavetamento,5331,1.71
Atropelamento de Animal,5119,1.64
Eventos atípicos,1342,0.43
Derramamento de carga,516,0.17
Sinistro pessoal de trânsito,23,0.01
