dia_semana,hora,n
domingo,0,1471
domingo,1,1440
domingo,2,1353
domingo,3,1458
domingo,4,1710
domingo,5,1962
domingo,6,1957
domingo,7,1693
domingo,8,1590
domingo,9,1731
domingo,10,1872
domingo,11,1863
domingo,12,1702
domingo,13,1784
domingo,14,2251
domingo,15,2576
domingo,16,2921
domingo,17,3227
domingo,18,3865
domingo,19,3807
domingo,20,2895
domingo,21,2347
domingo,22,1838
domingo,23,1467
quarta-feira,0,614
quarta-feira,1,570
quarta-feira,2,462
quarta-feira,3,514
quarta-feira,4,615
quarta-feira,5,1004
quarta-feira,6,1806
quarta-feira,7,2968
quarta-feira,8,2376
quarta-feira,9,1806
quarta-feira,10,1718
quarta-feira,11,1838
quarta-feira,12,1802
quarta-feira,13,1842
quarta-feira,14,1925
quarta-feira,15,2012
quarta-feira,16,2150
quarta-feira,17,2955
quarta-feira,18,3165
quarta-feira,19,2476
quarta-feira,20,1667
quarta-feira,21,1354
quarta-feira,22,1194
quarta-feira,23,947
quinta-feira,0,729
quinta-feira,1,575
quinta-feira,2,499
quinta-feira,3,549
quinta-feira,4,762
quinta-feira,5,1124
quinta-feira,6,1934
quinta-feira,7,3051
quinta-feira,8,2359
quinta-feira,9,1804
quinta-feira,10,1732
quinta-feira,11,1742
quinta-feira,12,1838
quinta-feira,13,1833
quinta-feira,14,1918
quinta-feira,15,1998
quinta-feira,16,2231
quinta-feira,17,2849
quinta-feira,18,3092
quinta-feira,19,2599
quinta-feira,20,1745
quinta-feira,21,1471
quinta-feira,22,1286
quinta-feira,23,1049
segunda-feira,0,1117
segunda-feira,1,875
segunda-feira,2,667
segunda-feira,3,708
segunda-feira,4,830
segunda-feira,5,1250
segunda-feira,6,2294
segunda-feira,7,3470
segunda-feira,8,2597
segunda-feira,9,1927
segunda-feira,10,1961
segunda-feira,11,1951
segunda-feira,12,1948
segunda-feira,13,1975
segunda-feira,14,2135
segunda-feira,15,2182
segunda-feira,16,2351
segunda-feira,17,2883
segunda-feira,18,3081
segunda-feira,19,2348
segunda-feira,20,1544
segunda-feira,21,1224
segunda-feira,22,1056
segunda-feira,23,804
sexta-feira,0,843
sexta-feira,1,665
sexta-feira,2,661
sexta-feira,3,666
sexta-feira,4,841
sexta-feira,5,1223
sexta-feira,6,2019
sexta-feira,7,3112
sexta-feira,8,2448
sexta-feira,9,1951
sexta-feira,10,1905
sexta-feira,11,2110
sexta-feira,12,1952
sexta-feira,13,2068
sexta-feira,14,2281
sexta-feira,15,2507
sexta-feira,16,2936
sexta-feira,17,3314
sexta-feira,18,3692
sexta-feira,19,3192
sexta-feira,20,2433
sexta-feira,21,1985
sexta-feira,22,1811
sexta-feira,23,1444
sábado,0,1206
sábado,1,1193
sábado,2,1162
sábado,3,1267
sábado,4,1513
sábado,5,1887
sábado,6,2009
sábado,7,2065
sábado,8,2124
sábado,9,2086
sábado,10,2077
sábado,11,2212
sábado,12,2122
sábado,13,2057
sábado,14,2291
sábado,15,2556
sábado,16,2620
sábado,17,2499
sábado,18,3238
sábado,19,3336
sábado,20,2750
sábado,21,2331
sábado,22,2073
sábado,23,1800
terça-feira,0,586
terça-feira,1,461
terça-feira,2,406
terça-feira,3,404
terça-feira,4,569
terça-feira,5,1011
terça-feira,6,1826
terça-feira,7,3014
terça-feira,8,2383
terça-feira,9,1757
terça-feira,10,1786
terça-feira,11,1809
terça-feira,12,1694
terça-feira,13,1925
terça-feira,14,1958
terça-feira,15,2039
terça-feira,16,2149
terça-feira,17,2812
terça-feira,18,3006
terça-feira,19,2321
terça-feira,20,1574
terça-feira,21,1269
terça-feira,22,1100
terça-feira,23,852
