ano,mes,n
2022,1,5049
2022,2,4869
2022,3,5175
2022,4,5339
2022,5,5399
2022,6,5115
2022,7,5659
2022,8,5610
2022,9,5532
2022,10,5792
2022,11,5229
2022,12,5838
2023,1,5254
2023,2,4751
2023,3,5596
2023,4,5603
2023,5,5638
2023,6,5735
2023,7,5966
2023,8,5613
2023,9,5664
2023,10,5740
2023,11,5592
2023,12,6614
2024,1,5755
2024,2,5280
2024,3,5957
2024,4,5835
2024,5,6186
2024,6,6225
2024,7,6401
2024,8,6167
2024,9,6222
2024,10,6406
2024,11,6135
2024,12,6587
2025,1,5528
2025,2,5287
2025,3,5960
2025,4,5786
2025,5,6096
2025,6,6122
2025,7,6238
2025,8,6246
2025,9,6017
2025,10,6252
2025,11,6209
2025,12,6788
2026,1,5824
2026,2,5596
2026,3,6133
2026,4,5982
2026,5,5603
2026,6,4434
2026,7,122
