grupo,n,n_grave,pct_grave,n_fatal,pct_fatal,z_pct_grave
MG,40433,11795.0,29.17,2786.0,6.89,-0.3691216039547058
SC,35934,9051.0,25.19,1543.0,4.29,-0.9492006849867728
PR,33376,8749.0,26.21,2243.0,6.72,-0.8005372019082029
RJ,26092,5424.0,20.79,1283.0,4.92,-1.5904941414041336
RS,22153,4917.0,22.2,1233.0,5.57,-1.384988738324934
SP,20753,3866.0,18.63,920.0,4.43,-1.9053109290999286
BA,17457,6141.0,35.18,2058.0,11.79,0.5068269581062794
GO,14303,4114.0,28.76,1118.0,7.82,-0.42887849421177804
PE,13525,4836.0,35.76,1260.0,9.32,0.591361095543113
MT,10907,3110.0,28.51,918.0,8.42,-0.4653156224173099
ES,10635,3470.0,32.63,637.0,5.99,0.135168250409855
PB,7787,2610.0,33.52,538.0,6.91,0.26488442682154845
MS,7587,2294.0,30.24,626.0,8.25,-0.21317069523503
RO,6586,1814.0,27.54,392.0,5.95,-0.6066916798547738
RN,6570,2009.0,30.58,439.0,6.68,-0.1636162008755067
CE,6060,2233.0,36.85,649.0,10.71,0.7502269745192324
PI,6050,2495.0,41.24,638.0,10.55,1.3900629458083715
MA,5260,2433.0,46.25,966.0,18.37,2.1202629950472294
DF,4442,864.0,19.45,180.0,4.05,-1.7857971485857842
PA,4346,1863.0,42.87,798.0,18.36,1.6276330217084385
TO,2966,1067.0,35.97,354.0,11.94,0.6219682832357598
AL,2853,1117.0,39.15,324.0,11.36,1.0854485540101249
SE,2500,826.0,33.04,200.0,8.0,0.19492514066692673
AC,1156,361.0,31.23,85.0,7.35,-0.06887966754112361
AP,718,231.0,32.17,53.0,7.38,0.0681239345116763
RR,702,275.0,39.17,99.0,14.1,1.088363524266568
AM,600,202.0,33.67,81.0,13.5,0.2867467037448673
