grupo,n,n_grave,pct_grave,n_fatal,pct_fatal,ic95_low,ic95_high
MG,40433,11795.0,29.17,2786.0,6.89,28.73,29.62
SC,35934,9051.0,25.19,1543.0,4.29,24.74,25.64
PR,33376,8749.0,26.21,2243.0,6.72,25.74,26.69
RJ,26092,5424.0,20.79,1283.0,4.92,20.3,21.28
RS,22153,4917.0,22.2,1233.0,5.57,21.65,22.75
SP,20753,3866.0,18.63,920.0,4.43,18.1,19.16
BA,17457,6141.0,35.18,2058.0,11.79,34.47,35.89
GO,14303,4114.0,28.76,1118.0,7.82,28.03,29.51
PE,13525,4836.0,35.76,1260.0,9.32,34.95,36.57
MT,10907,3110.0,28.51,918.0,8.42,27.67,29.37
ES,10635,3470.0,32.63,637.0,5.99,31.74,33.53
PB,7787,2610.0,33.52,538.0,6.91,32.48,34.57
MS,7587,2294.0,30.24,626.0,8.25,29.21,31.28
RO,6586,1814.0,27.54,392.0,5.95,26.48,28.64
RN,6570,2009.0,30.58,439.0,6.68,29.48,31.7
CE,6060,2233.0,36.85,649.0,10.71,35.64,38.07
PI,6050,2495.0,41.24,638.0,10.55,40.01,42.49
MA,5260,2433.0,46.25,966.0,18.37,44.91,47.6
DF,4442,864.0,19.45,180.0,4.05,18.31,20.64
PA,4346,1863.0,42.87,798.0,18.36,41.4,44.34
TO,2966,1067.0,35.97,354.0,11.94,34.27,37.72
AL,2853,1117.0,39.15,324.0,11.36,37.38,40.96
SE,2500,826.0,33.04,200.0,8.0,31.22,34.91
AC,1156,361.0,31.23,85.0,7.35,28.62,33.96
AP,718,231.0,32.17,53.0,7.38,28.86,35.68
RR,702,275.0,39.17,99.0,14.1,35.63,42.83
AM,600,202.0,33.67,81.0,13.5,30.0,37.54
