feature,importancia_nativa,tipo_importancia
tipo_pista_Simples,0.104218,feature_importances_ (impureza/gain)
br_324.0,0.023225665,feature_importances_ (impureza/gain)
fase_dia_Pleno dia,0.018327085,feature_importances_ (impureza/gain)
sentido_via_Não Informado,0.011678423,feature_importances_ (impureza/gain)
uf_RS,0.011339563,feature_importances_ (impureza/gain)
uf_PR,0.010885824,feature_importances_ (impureza/gain)
br_116.0,0.010500056,feature_importances_ (impureza/gain)
latitude,0.010463555,feature_importances_ (impureza/gain)
uf_SP,0.010438125,feature_importances_ (impureza/gain)
br_valido,0.010388663,feature_importances_ (impureza/gain)
tracado_rotatoria,0.009938463,feature_importances_ (impureza/gain)
br___missing__,0.009839606,feature_importances_ (impureza/gain)
municipio_freq,0.009787705,feature_importances_ (impureza/gain)
km_valido,0.009517461,feature_importances_ (impureza/gain)
uf_RJ,0.009302343,feature_importances_ (impureza/gain)
uf_DF,0.008351447,feature_importances_ (impureza/gain)
fase_dia_Plena Noite,0.008185245,feature_importances_ (impureza/gain)
uf_ES,0.008052463,feature_importances_ (impureza/gain)
uf_SC,0.007875928,feature_importances_ (impureza/gain)
br_470.0,0.00774635,feature_importances_ (impureza/gain)
uf_MA,0.0076512056,feature_importances_ (impureza/gain)
br_381.0,0.007475739,feature_importances_ (impureza/gain)
br_316.0,0.0073612886,feature_importances_ (impureza/gain)
br_304.0,0.007044966,feature_importances_ (impureza/gain)
br_376.0,0.0068063345,feature_importances_ (impureza/gain)
uf_PA,0.0065039177,feature_importances_ (impureza/gain)
br_101.0,0.00641133,feature_importances_ (impureza/gain)
tipo_pista_Dupla,0.0063547585,feature_importances_ (impureza/gain)
longitude,0.006275024,feature_importances_ (impureza/gain)
br_153.0,0.0061272043,feature_importances_ (impureza/gain)
br_356.0,0.006119888,feature_importances_ (impureza/gain)
br_308.0,0.00606101,feature_importances_ (impureza/gain)
br_267.0,0.0060595716,feature_importances_ (impureza/gain)
br_369.0,0.0060241204,feature_importances_ (impureza/gain)
br_40.0,0.005997415,feature_importances_ (impureza/gain)
br_364.0,0.005995081,feature_importances_ (impureza/gain)
br_435.0,0.0059801447,feature_importances_ (impureza/gain)
br_50.0,0.0059433836,feature_importances_ (impureza/gain)
br_163.0,0.005878423,feature_importances_ (impureza/gain)
uf_PE,0.00587515,feature_importances_ (impureza/gain)
br_367.0,0.005824952,feature_importances_ (impureza/gain)
br_287.0,0.0057478943,feature_importances_ (impureza/gain)
tipo_pista_Múltipla,0.0057403175,feature_importances_ (impureza/gain)
br_262.0,0.005699871,feature_importances_ (impureza/gain)
hora_cos,0.0056290845,feature_importances_ (impureza/gain)
br_476.0,0.005612137,feature_importances_ (impureza/gain)
br_232.0,0.005590605,feature_importances_ (impureza/gain)
br_282.0,0.0055594733,feature_importances_ (impureza/gain)
uf_MG,0.005550677,feature_importances_ (impureza/gain)
br_104.0,0.005490297,feature_importances_ (impureza/gain)
br_251.0,0.005467411,feature_importances_ (impureza/gain)
br_427.0,0.005414194,feature_importances_ (impureza/gain)
tracado_declive,0.0053918967,feature_importances_ (impureza/gain)
